"Baby	";"Baby	";"das	";"Babys	";;;Nomen
"Tier	";"animal	";"das	";"Tiere	";;;Nomen
"Tisch	";"table	";"der	";"Tische	";;;Nomen
"Unterhaltung	";"amusement	";"die	";"Unterhaltungen	";;;Nomen
"Wagen	";"car	";"der	";"-	";;;Nomen
"Wohnung	";"apartment	";"der	";"Wohnungen	";;;Nomen
"Zimmer	";"room	";"das	";"-	";;;Nomen
"Anzeige	";"ad	";"die	";"Anzeigen	";;;Nomen
"Apartment	";"apartment	";"das	";"Apartments	";;;Nomen
"Balkon	";"balcony	";"der	";"Balkons	";;;Nomen
"Besteck	";"cutlery	";"das	";"Bestecke	";;;Nomen
"Bett	";"bed	";"das	";"Betten	";;;Nomen
"Biologie	";"biologie	";"die		";Nomen;;;Nomen
"Haustier	";"pet	";"das	";"Haustiere	";;;Nomen
"Herd	";"stove	";"der	";"Herde	";;;Nomen
"Küche	";"kitchen	";"die	";"Küchen	";;;Nomen
"Lampe	";"lamp	";"die	";"Lampen	";;;Nomen
"Löffel	";"spoon	";"der	";"-	";;;Nomen
"Mathematik	";"mathematics	";"die	";"-	";;;Nomen
"Miete	";"rent	";"die	";"Mieten	";;;Nomen
"Physik	";"physics	";"die	";"-	";;;Nomen
"Quadratmeter	";square meter;der;-;;;Nomen
"S-Bahn	";"Train	";"die	";"S-Bahnen	";;;Nomen
"Schreibmaschine	";"typewriter	";"die	";"Schreibmachinen	";;;Nomen
"Schreibtisch	";"desk	";"der	";"Schreibtische	";;;Nomen
"Stuhl	";"chair	";"der	";"Stühle	";;;Nomen
"Uni	";"university	";"die	";"Unis	";;;Nomen
"Universität	";"university	";"die	";"Universitätn	";;;Nomen
"Zeitungsanzeige	";"ad	";"die	";"Zeitungsanzeigen	";;;Nomen
"Aufgabe	";"assignment	";"die	";"Aufgaben	";;;Nomen
"Lücke	";"gap	";"die	";"Lüken	";;;Nomen
"Unterschied	";"difference	";"der	";"Unterschiede	";;;Nomen
"Pult	";"desk	";"das		";Nomen;;;Nomen
"Bleistift	";"pencil	";"der	";"Bleistifte	";;;Nomen
"Fernseher	";"TV	";"der	";"-	";;;Nomen
"Foto	";"foto	";"das	";"Fotos	";;;Nomen
